paragraph,familiar_1,understandable_1,word_coherence_1,coherence_1,syntax_compl_1,complexity_1,familiar_2,understandable_2,word_coherence_2,coherence_2,syntax_compl_2,complexity_2,familiar_3,understandable_3,word_coherence_3,coherence_3,syntax_compl_3,complexity_3
"Большинство текстов, создаваемых на компьютepe, выводятся на печать и используются в традиционной бумажной форме (документы на всех возможных бланках, газеты, журналы,  учебники,  справочники, научно-популярная и художественная литература и пр.). Наряду с этим в последнее время широкое распространение получили электронные книги — компактные устройства, предназначенные для отображения текстовой информации, представленной в электронном виде.",5,5,2,4,4,2,5,5,3,5,3,2,5,5,3,3,3,2
"Текст документа размещается на странице в области печати, ограниченной  полями.  Поля  представляют собой пустое пространство  по  краям страницы. Различают верхнее, нижнее, левое и правое поля. На полях размещают номера страниц, а также колонтитулы. Колонтитул — вспомогательная информация, которая выводится на каждой странице документа. Например, в вашем учебнике в качестве  верхнего колонтитула выводится название главы и параграфа.",5,5,3,5,2,1,5,5,5,5,3,1,5,5,4,5,1,1
"Фазы 3, 4 и 6 по своей сути тождественны соответствующим фазам в разработке нового программного обеспечения, при необходимости оценки качества модифицированного программного обеспечения используют методы, применяемые для оценки качества вновь разработанного программного обеспечения. Далее подробно рассмотрим состав работ, проводимых на фазах 1, 2 и 5. Действия, проводимые на фазе идентификации проблемы этапа сопровождения, подобны соответствующим работам, проводимым для нового программного обеспечения. И в том и в другом случае отправной точкой является наличие некоторой проблемы, которую намереваются устранить в ходе выполнения работ. Однако этап сопровождения  обычно характеризуется лучшей специфицируемостью проблемы, так как и у разработчика программного обеспечения, и у пользователя уже имеется опыт работы в данной предметной области.",4,4,2,3,4,4,3,4,3,5,4,2,5,3,3,2,2,3
"Если вместо механического секундомера используется электронный, суть дела не меняется. Вместо регистрации перемещения стрелки происходит регистрация количества тактов колебаний, произошедших в электронной системе за время измерения. Даже если секундомер непосредственно отображает время в секундах и нам не нужен метод пересчета, то метод преобразования данных все равно присутствует — он реализован специальными электронными компонентами и работает автоматически, без нашего участия.",5,5,2,5,4,2,4,5,4,5,3,2,5,5,2,3,2,1
"Приемы и методы работы со звуковой информацией пришли в вычислительную технику наиболее поздно. К тому же, в отличие от числовых, текстовых и графических данных, у звукозаписей не было столь же длительной и проверенной истории кодирования. В итоге методы кодирования звуковой информации двоичным кодом далеки от стандартизации. Множество отдельных компаний разработали свои корпоративные стандарты, но если говорить обобщенно, то можно выделить два основных направления.",5,5,2,5,3,2,4,5,3,4,2,2,5,5,4,4,2,1
"Проведенная структуризация достаточно сложной процедуры формирования профиля защиты категорированного объекта транспортной инфраструктуры является типовой методикой для всех категорированных критически опасных объектов данного типа и данного вида транспорта. Методика позволяет связать стоимость защиты с рисками реализации угроз объекту, оперативно корректировать как систему требований и средств защиты, так и распределение выделяемых для этого средств.",3,4,1,2,4,4,4,4,4,4,3,2,4,3,3,3,5,4
"В силу наличия в сети процедур управления потоками, выбор направления дальнейшей передачи сообщений производится адаптивно, исходя из текущей загрузки всех трактов и узлов коммутации. Поэтому входной поток в тракт передачи данных зависит от состояния приборов массового обслуживания, и аналитическая оценка величины Tjk(S, t) существующими методами невозможна. Если мы будем строить метамодель для величины Tjk(S, t) для разных приоритетов, то входной вектор для нее будет включать очереди в различные тракты передачи данных по различным приоритетам, т.е. иметь достаточно высокую размерность.",3,3,2,4,4,5,3,4,4,5,4,3,4,4,4,4,3,3
"Информацию,  предназначенную  для  обработки  на  компьютере  и представленную в виде двоичного кода, принято называть двоичными  данными или просто данными. Одним из основных достоинств  двоичных данных является то, что их копируют, хранят и передают  с использованием одних и тех же универсальных методов, независимо  от вида исходной информации.",5,5,3,5,3,1,5,5,4,4,3,1,5,5,4,4,1,1
"Второй случай, который удобнее именовать свойством связи, предназначен для ""реальных"" связей с атрибутами и осуществляет отбор связи по принципу сравнения определенного атрибута (а может, некой вычисляемой характеристики) с вычисленным или заданным значением (как вариант, равенства этому значению). Значение это (или вычисляющее его выражение) и будет дополнительными данными, необходимыми для свойства связи, что и отличает его конструкцию от конструкции оператора связи.",4,4,2,5,5,3,4,3,4,5,5,3,5,5,5,5,1,1
"Системы мониторинга подразделяют на две группы: централизованные и децентрализованные. Централизованный подход подразумевает сбор и обработку данных об объектах мониторинга в одном определённом узле сети (сервере мониторинга). Децентрализованный подход предполагает распределение этих действий между несколькими узлами, например, с использованием автономных агентов (программ, работающих на объектах мониторинга независимо от сервера мониторинга, самостоятельно принимающих решения об отправке данных на сервер и реакции на изменение состояния объекта).",5,5,2,5,5,3,3,5,4,5,4,2,4,5,3,4,3,2
"Визуализация и анализ полученных экспериментальных данных в области нанотехнологий позволяет выделить перспективные области для дальнейших исследований. Использование моделирующих систем позволяет дополнить экспериментальные данные и скорректировать области дальнейших исследований. Переход к упорядоченным данным позволяет использовать механизмы анализа данных с целью нахождения новых законов и определения областей, требующих дальнейшего исследования. На важность проведения исследований в этой области обращается внимание в отчете по развитию ""Национальной нанотехнологической инициативы в США"" . Одна из 10 рекомендаций была сформулирована следующим образом: ""Широкая поддержка распространения и доступности новой информации о свойствах наноматериалов, доступной для общего использования"". Эта задача является одной из важнейших для дальнейшего развития нанотехнологической информатики .",4,5,3,3,3,3,3,5,3,5,3,2,3,4,4,4,3,3
"Актуальность информации — это степень соответствия информации текущему моменту времени. Нередко с актуальностью, как и с полнотой, связывают коммерческую ценность информации. Поскольку информационные процессы растянуты во времени, то достоверная и адекватная, но устаревшая информация может приводить к ошибочным решениям. Необходимость поиска (или разработки) адекватного метода для работы с данными может приводить к такой задержке в получении информации, что она становится неактуальной и ненужной. На этом, в частности, основаны многие современные системы шифрования данных с открытым ключом. Лица, не владеющие ключом (методом) для чтения данных, могут заняться поиском ключа, поскольку алгоритм его работы доступен, но продолжительность этого поиска столь велика, что за время работы информация теряет актуальность и, соответственно, связанную с ней практическую ценность.",5,5,4,5,4,1,4,5,5,5,4,2,5,5,4,5,2,2
"Слово информатика происходит от французского слова Informatique, образованного в результате объединения терминов Information (информация) и Automatique (автоматика), что выражает ее суть как науки об автоматической обработке информации. Кроме Франции термин информатика используется в ряде стран Восточной Европы. В то же время, в большинстве стран Западной Европы и США используется другой термин — Computer Science (наука о средствах вычислительной техники).",5,5,2,5,2,1,5,5,5,5,4,1,5,5,4,4,1,1
"Отслеживание изменений означает определение новых тенденций в поведении ряда и определение моментов их появления. К примеру, горизонтный ряд h является своеобразным индикатором изменения закономерностей ряда x, резкое изменение горизонтного ряда по переменной t сигнализирует о возможном появлении нового фактора, влияющего на динамику исходного ряда либо о существенном изменении имеющихся факторов. Профиль горизонтного ряда является показателем относительной неизменности совокупности определяющих ряд факторов. Данный индикатор может быть полезен, например, для анализа изменения структуры рынка ценных бумаг, изменения эластичности спроса, а период перехода горизонтного ряда к новой устойчивой структуре может характеризовать скорость протекания процессов саморегуляции в системе.",2,3,3,4,5,5,3,2,4,5,4,4,3,4,4,4,2,3
"Вообще говоря, кластеры символов Cl1, ... , ClL не могут быть разбиты на группы, соответствующие определению шрифта. Основная причина этого состоит в том, что использованный описанный выше метод кластеризации  не гарантирует формирование единственного кластера для  каждого символа алфавита шрифта, использованного при печати документа. Другой причиной являются ошибки и низкие оценки надежности распознавания характеристик символов, приводящие к появлению ошибок в дополнительных характеристиках кластеров.",3,4,3,4,4,4,3,4,3,4,3,3,3,4,2,3,2,2
"В статье рассмотрен алгоритм вписывания одного многогранника в другой. Предложены готовые программные продукты, которые значительно упрощают написание данного алгоритма. Рассмотрены возможные способы оптимизации времени работы алгоритма, варианты его модификаций в зависимости от прикладной задачи, а также основные проблемы, возникающие при его реализации. Алгоритм протестирован на реальных данных и получены хорошие результаты по качеству и времени работы. Алгоритм является эффективным и актуальным, потому что за счет сведения к НПзадачи можно распараллелить вычисления, что крайне важно с учетом развития современных вычислительных технологий.",4,5,3,4,3,2,5,5,4,5,2,1,4,5,4,5,1,2
"Сегодня предметом кибернетики являются принципы построения и функционирования систем автоматического управления, а основными задачами — методы моделирования процесса принятия решений техническими средствами, связь между психологией человека и математической логикой, связь между информационным процессом отдельного индивидуума и информационными процессами в обществе, разработка принципов и методов искусственного интеллекта. На практике кибернетика во многих случаях опирается на те же программные и аппаратные средства вычислительной техники, что и информатика, а информатика, в свою очередь, заимствует у кибернетики математическую и логическую базу для развития этих средств.",5,5,3,3,5,3,5,5,4,4,4,2,5,5,3,3,3,3
"Значительно труднее человеку понять двоичный код. И совсем уже  невозможно человеку понять информацию, представленную последовательностью электрических импульсов. Входящие в состав компьютера устройства ввода «переводят» информацию с языка человека на  язык компьютера; устройства вывода «переводят» электрические  импульсы в форму, доступную для человеческого восприятия. Примеры устройств ввода: клавиатура, мышь, микрофон. Примеры  устройств вывода: монитор, принтер.",5,5,4,5,3,1,5,5,5,5,2,1,5,5,4,3,1,1
"До последнего времени модели персональных компьютеров условно рассматривали в двух категориях: бытовые ПК и профессиональные ПК. Бытовые модели, как правило, имели меньшую производительность, но в них были приняты особые меры для работы с цветной графикой и звуком, чего не требовалось для профессиональных моделей. В связи с достигнутым в последние годы резким удешевлением средств вычислительной техники, границы между профессиональными и бытовыми моделями в значительной степени стерлись, и сегодня в качестве бытовых нередко используют высокопроизводительные профессиональные модели, а профессиональные модели, в свою очередь, комплектуют устройствами для воспроизведения мультимедийной информации, что ранее было характерно для бытовых устройств.",5,5,4,5,4,2,5,5,5,5,4,2,5,5,4,4,3,1
"Третий способ использования вычислительной аппаратуры для получения результата программы связан с процессом, называемым интерпретацией языка. Интерпретация выполняется программой, называемой интерпретатором. При интерпретации некоторой программы она размещается не в той области памяти вычислительной машины, которая предназначена для выполняемых программ, а там, где обычно размещаются исходные данные выполняемых программ. В отличие от компилятора интерпретатор некоторого исходного языка выполняет действия, которые этой программой предписываются (для этого интерпретатору необходимо передавать еще и входные данные программы). Интерпретатор не порождает объектную программу, которая впоследствии должна выполняться, а выполняет ее сам. Это и есть принципиальное отличие интерпретатора от компилятора. Итогом работы интерпретатора является результат, определяемый смыслом исходной программы, если исходная программа правильна синтаксически и семантически, либо сообщение об ошибке, в противном случае. В процессе интерпретации участвуют только две программы (программа интерпретатора и исходная программа) и два набора данных (входные данные программы и ее результат).",5,5,4,5,4,3,5,4,5,5,4,3,5,5,5,4,2,2
"Клиентское программное обеспечение рабочих станций такой сети вполне могло бы базироваться на описанных выше принципах анализа и синтеза модели. А именно, основу программного обеспечения рабочей станции составляет ""система программирования"" на некотором непроцедурном языке описания моделей и их компонент. Эта система программирования должна включать редактор (желательно и с графическим интерфейсом) описания моделей и их компонент. При описании компонент модели той или иной конструкции должна быть возможность ссылки на найденные уже существующие в сети компоненты, подходящие на роль компонент описываемой конструкции. Далее, система программирования клиентской части должна включать средства отладки описаний отдельных компонент и всей модели в целом. Далее, в клиентской части должен присутствовать сборщик модели, создающий базу характеристик компонент модели, проверяя при этом ее целостность.",4,5,4,5,3,3,5,5,4,5,3,2,3,3,4,4,2,3
"Если удается аппроксимировать множество Х многообразием М меньшей размерности, то задачу аппроксимации необходимо решать, лишь в окрестности многообразия М. Нахождение такого многообразия М очень важно и по другой причине. Для проведения вычислительных экспериментов с целью получения обучающего множества данных D, необходимо генерировать входные цифровые описания X в окрестности многообразия М, а в итерационных процессах оптимизации также необходимо ""оставаться"" вблизи многообразия М.",4,4,3,5,4,4,3,3,4,5,3,3,3,4,4,3,2,2
"Одной из основных проблем в задачах анализа и прогнозирования временных рядов, возникающих в практической деятельности, является их нестационарность. Ряды могут быть нестационарными как в широком смысле, так и в узком . Нестационарность в широком смысле означает, что, корреляционная функция ряда при фиксированном сдвиге или первый момент ряда или оба они вместе изменяются во времени. Нестационарность в узком смысле означает изменчивость во времени функции распределения.",4,5,4,5,3,4,3,4,5,5,3,2,4,5,4,4,1,2
"Далее проводится оценка стоимости реализации сформированного профиля защиты. Сегодня принято, что стоимость всех применяемых средств защиты не должна превышать 3% от величины возможного ущерба при реализации угрозы. Если стоимость всей защиты не превышает этого значения, то данный профиль определяется как типовой для всех подобных объектов соответствующего вида транспорта. Если стоимость выше, то в соответствии с уровнем допустимых затрат корректируются профили защиты и перечень требований по обеспечению безопасности.",4,4,4,5,3,3,3,5,5,5,3,2,4,5,4,5,3,2
"Рассматриваются задачи интеллектуального анализа данных, которые необходимо решать в технологии предсказательного моделирования. Для уменьшения сложности решения этих задач в технологии предсказательного моделирования используются решения задач снижения размерности, которые должны удовлетворять ряду дополнительных условий. В статье обсуждаются эти дополнительные требования и сформулированы соответствующие новые нетрадиционные постановки задач снижения размерности.",5,5,4,5,3,2,4,5,5,5,3,2,5,5,4,4,1,1
"Для больших массивов поиск данных в иерархической структуре намного проще, чем в линейной, однако и здесь необходима навигация, связанная с необходимостью просмотра. На практике задачу упрощают тем, что в большинстве книг есть вспомогательная перекрестная таблица, связывающая элементы иерархической структуры с элементами линейной структуры, то есть связывающая разделы, главы и параграфы с номерами страниц. В книгах с простой иерархической структурой, рассчитанных на последовательное чтение, эту таблицу принято называть оглавлением, а в книгах со сложной структурой, допускающей выборочное чтение, ее называют содержанием.",5,5,3,5,4,2,5,5,4,5,3,2,4,4,3,4,2,2
"Программы этой категории предназначены для контроля за установкой программного обеспечения. Необходимость в данном программном обеспечении связана с тем, что между различными категориями программного обеспечения могут устанавливаться связи. Вертикальные связи (между уровнями) являются необходимым условием функционирования всех компьютеров. Горизонтальные связи (внутри уровней) характерны для компьютеров, работающих с операционными системами, поддерживающими принцип совместного использования одних и тех же ресурсов разными программными средствами. И в тех и в других случаях при установке или удалении программного обеспечения могут происходить нарушения работоспособности прочих программ.",4,4,4,5,3,3,5,5,4,5,3,2,4,4,4,4,2,3
"Рассмотренные методы имеют свои традиционные границы применимости, обусловленные их слабыми и сильными сторонами. Существующие методы работы с рядами как правило предполагают, что ряд стационарен либо законы его изменения во времени несложно определить. Другая особенность методов заключается в том, что при работе с характеристиками ряда традиционно рассматриваются первые два условия, функция распределения используется гораздо реже. Это связано с тем, что работать с первыми двумя условиями значительно проще, чем с функцией распределения. Также предполагается, что некоторые статистики, например, дисперсии оценок параметров эмпирического распределения, можно считать нормальными или несильно отклоняющимися от него на больших объемах выборки. В случае нестационарных рядов это предположение не выполняется.",4,4,4,5,3,4,4,4,3,4,3,2,3,4,4,4,2,2
"Задача выбора шрифтов является актуальной для каждой OCR, сохраняющей свои результаты в формате Microsoft Office. В идеале OCR должна уметь сохранять результат распознавания отсканированной страницы так, чтобы отображалась как структура страницы (разбиение на фрагменты текста, на текстовые строки, иллюстрации, таблицы), так и стили оформления распознанных символов. Последнее предполагает выбор шрифта для отображения группы распознанных символов, наиболее похожего на шрифт, использованный для печати данной группы символов. При этом предполагается, что символы сгруппированы на основе сходства характеристик, таких как кегль, признаки (наклон, жирность и т.п.), гарнитура, которые были определены выше в разделе 2.",4,3,3,4,4,3,4,5,5,5,4,2,5,5,4,4,1,1
"Если каждому символу алфавита сопоставить определенное целое число (например, порядковый номер), то с помощью двоичного кода можно кодировать и текстовую информацию. Восьми двоичных разрядов достаточно для кодирования 256 различных символов. Этого хватит, чтобы выразить различными комбинациями восьми битов все символы английского и русского языков, как строчные, так и прописные, а также знаки препинания, символы основных арифметических действий и некоторые общепринятые специальные символы, например символ «§».",5,5,3,5,3,2,5,5,4,5,4,2,5,5,2,4,1,1
"После построения модели угроз, когда определены возможные опасности для всей совокупности критических точек объекта, начинается формирование для них профилей защиты. Под формированием профилей защиты понимается определение типового состава требовний по обеспечению безопасности объекта и реализующего эти требования комплекса средств и мероприятий, обеспечивающих приемлемый уровень безопасности всего множества объектов данной категории и данного вида транспорта.",4,5,3,4,4,3,4,5,5,5,4,2,4,4,3,3,4,4
"Для быстрого доступа к дискам, принтеру, часто используемым программам или документам целесообразно создать на рабочем столе  ярлыки. Ярлык представляет собой ссылку на объект, который может быть расположен  в любой  папке.  Ярлык  внешне  отличается  от  значка объекта наличием стрелки в левом нижнем углу. В свойствах ярлыка можно увидеть размещение объекта, на который он указывает. Удаление ярлыка не приводит к удалению соответствующего объекта. Двойной щелчок на ярлыке открывает окно соответствующей программы или документа.",5,5,3,5,2,1,5,5,5,5,3,1,5,5,5,5,1,1
"На протяжении XVIII века, известного как эпоха Просвещения, появились новые, более совершенные модели, но принцип механического управления вычислительными операциями оставался тем же. Идея программирования вычислительных операций пришла из той же часовой промышленности. Старинные монастырские башенные часы были настроены так, чтобы в заданное время включать механизм, связанный с системой колоколов. Такое программирование было жестким — одна и та же операция выполнялась в одно и то же время. Идея гибкого программирования механических устройств с помощью перфорированной бумажной ленты впервые была реализована в 1804 году в ткацком станке Жаккарда, после чего оставался только один шаг до программного управления вычислительными операциями.",5,5,4,5,3,1,4,5,3,5,3,2,5,5,3,5,1,1
"Сложность выражений, описывающих зависимость рассмотренных выше целевых функций от плана распределения ресурсов, затрудняет получение в аналитическом виде оценки оптимальности разработанного алгоритма (в смысле достижения глобального оптимума целевой функции). Данный алгоритм, как следует из градиентного метода и свойств рассмотренных выше целевых функций, гарантирует приближение к локальному оптимуму с любой заранее заданной точностью. Отметим, что все приведенные выше в примерах планы, полученные разработанным алгоритмом, при округлении их компонентов до ближайших целых чисел совпадают с оптимальными статическими планами (это показали расчеты, проведенные методом полного перебора).",4,5,3,4,4,3,3,4,4,5,4,3,4,4,4,3,3,3
"Но, со временем, стало ясно, что сетевые вычисления имеют свою специфику. Задачи упаковки и распаковки данных для передачи по сети не являются здесь основными. Истинными проблемами распределенных вычислений являются: возможность отказов отдельных программных компонент, сетевые сбои, отсутствие централизованного управления ресурсами, необходимость в синхронизации результатов, поступающих от удаленных ""решателей"" и т.п. Исследователи, начинающие разрабатывать распределенное приложение для решения своей ""прикладной проблемы"", вскоре обнаруживают, что в основном занимаются не ею, а перечисленными ""программистскими"" задачами.",5,5,3,3,4,2,4,3,2,4,4,3,4,5,2,4,3,2
"Приведенный здесь список типовых операций с данными далеко не полон. Миллионы людей во всем мире занимаются созданием, обработкой, преобразованием и транспортировкой данных, и на каждом рабочем месте выполняются свои специфические операции, необходимые для управления социальными, экономическими, промышленными, научными и культурными процессами. Полный список возможных операций составить невозможно, да и не нужно. Сейчас нам важен другой вывод: работа с информацией может иметь огромную трудоемкость, и ее надо автоматизировать.",5,5,3,5,3,1,4,5,4,4,3,2,5,5,4,4,2,1
"Основное свойство электронных таблиц состоит в том, что при изменении содержания любых ячеек таблицы может происходить автоматическое изменение содержания во всех прочих ячейках, связанных с измененными соотношением, заданным математическими или логическими выражениями (формулами). Простота и удобство работы с электронными таблицами снискали им широкое применение в сфере бухгалтерского учета, в качестве универсальных инструментов анализа финансовых, сырьевых и товарных рынков, доступных средств обработки результатов технических испытаний, то есть всюду, где необходимо автоматизировать регулярно повторяющиеся вычисления достаточно больших объемов числовых данных.",5,5,4,3,5,1,4,4,5,5,4,2,5,5,4,5,2,1
"Распределение аппаратных ресурсов матрицы процессорных элементов перечисленных выше систем относительно обработки алгоритмов, включающих ветвление (большинства алгоритмов высокопроизводительных вычислений), является неэффективным, что, в общем случае, снижает показатель удельной производительности. Задача предлагаемой работы заключается в повышении эффективности реконфигурируемых вычислительных систем относительно обработки алгоритмов, включающих ветвления.",4,5,3,3,4,2,4,4,3,4,4,3,3,2,2,3,5,5
"Несмотря на то, что современные высокопроизводительные вычислительные системы позволяют выполнить моделирование наносистем на основе шредингеровских моделей с линейными размерами до десятков нанометров, при проектировании наносистем в инженерной практике необходимо учитывать особенности моделирования наносистем. Использование шредингеровских моделей при проектировании наносистем может привести к значительному увеличению вычислительных затрат и погрешности модели. В связи с этим рекомендуется использовать шредингеровские модели при проектировании наносистем с линейными размерами менее 1 нм. В остальных случаях использование шредингеровских моделей при проектировании наносистем следует минимизировать. Зачастую полуклассические модели, несмотря на то, что они являются более простыми по сравнению с квантомеханическими моделями, позволяют корректно оценить диапазон изменения характеристик различных альтернативных проектных решений. Однако на этапе окончательной оценки выбранного проектного решения представляется целесообразным выполнить моделирование характеристик наносистем с помощью более сложных моделей.",3,4,4,5,3,5,2,3,5,5,4,3,3,4,4,4,3,3
